Time,acc_x,acc_y,acc_z
6.549,0.01114,-0.01595,-1.01752
6.569,0.03061,0.00185,-1.01278
6.586,0.02971,-0.00251,-1.00873
6.602,0.0248,0.00033,-1.01238
6.618,0.02148,0.01373,-1.00976
6.649,0.01227,0.01893,-1.00933
6.666,0.00265,0.02275,-1.0013
6.676,-0.00158,0.00126,-1.02302
6.707,-0.00256,-0.03881,-1.02871
6.724,-0.00148,-0.0227,-1.01203
6.749,0.01288,0.0197,-1.00937
6.772,-0.0031,0.02457,-1.01774
6.788,-0.0089,0.02082,-1.00665
6.804,-0.00015,0.04032,-1.01722
6.82,0.00604,0.03392,-1.0232
6.849,0.00476,0.00236,-1.00601
6.868,0.0001,-0.00948,-1.00368
6.884,-0.00229,0.00025,-1.00637
6.9,-0.01014,0.01186,-1.00303
6.916,-0.03645,-0.00083,-1.00745
6.949,-0.03565,-0.02331,-1.0295
6.963,-0.01187,-0.0506,-1.02932
6.979,-0.00417,-0.03488,-1.01579
7.027,0.01471,-0.01174,-1.01474
7.05,0.01471,-0.01174,-1.01474
7.059,0.02114,1e-05,-1.02089
7.09,0.0242,-0.01009,-1.01636
7.108,0.03585,-0.00083,-1.00947
7.122,0.03448,0.02039,-1.01153
7.15,0.02062,0.01337,-1.00689
7.169,-0.00158,0.0063,-1.00848
7.185,-0.02547,0.04414,-1.00069
7.21,-0.04335,0.02375,-1.02044
7.225,-0.03379,-0.02363,-1.0336
7.25,-0.00882,0.00165,-1.01772
7.257,0.01669,0.04618,-1.01116
7.289,0.01936,0.02692,-1.01189
7.304,0.01333,-0.0019,-1.01769
7.32,0.01813,-0.00271,-1.01167
7.35,0.01532,-0.0118,-1.00863
7.368,0.0041,-0.03939,-1.0094
7.384,-0.01414,-0.04355,-1.01335
7.4,-0.01838,-0.0181,-1.00072
7.416,-0.0201,0.00628,-1.01177
7.45,-0.00624,-0.02443,-1.02521
7.464,0.00719,-0.02698,-1.02279
7.481,0.02571,0.02267,-1.01503
7.496,0.03529,0.02968,-1.01586
7.528,0.01361,0.01442,-1.01609
7.55,0.01104,0.02064,-1.01342
7.561,0.01643,0.02528,-1.0088
7.58,0.01062,0.02137,-1.01013
7.61,0.00467,0.0054,-1.01063
7.626,-0.0092,-0.02603,-1.0172
7.642,-0.0261,-0.0579,-1.0232
7.658,-0.02052,-0.01769,-1.00888
7.707,-0.01195,0.06329,-0.99989
7.729,0.00138,0.06467,-1.01471
7.739,0.00022,-0.00183,-1.02428
7.755,-0.00914,0.00219,-1.01347
7.787,-0.00236,-0.01259,-1.0227
7.803,0.00682,-0.00755,-1.0098
7.819,0.00682,-0.00755,-1.0098
7.851,0.01735,-0.00546,-1.01052
7.867,-0.00081,-0.04793,-1.00912
7.883,-0.00212,-0.04188,-1.01951
7.899,0.01181,-0.02576,-1.00882
7.931,0.01635,-0.00354,-1.01975
7.947,0.02335,-0.00785,-1.021
7.963,0.0293,-0.00928,-1.01571
7.979,0.01535,0.0112,-1.01004
7.995,-0.01206,-0.01006,-1.00617
