Time,gyro_x,gyro_y,gyro_z
7.626,-0.01836,0.00596,-0.51376
7.642,0.01851,-0.00894,-0.43269
7.658,-0.01355,0.00395,-0.43715
7.707,-0.03557,0.0291,-0.50323
7.729,-0.01491,0.0265,-0.54614
7.739,0.00553,0.0057,-0.54442
7.755,-0.02138,0.01314,-0.5147
7.787,0.03261,-0.00842,-0.47989
7.803,-0.0031,0.00153,-0.53059
7.819,-0.0031,0.00153,-0.53059
7.851,-0.01844,0.02408,-0.5537
7.867,-0.01739,0.01231,-0.51877
7.883,-0.01113,0.00355,-0.48357
7.899,0.00182,0.02966,-0.46098
7.931,-0.00303,0.01184,-0.48391
7.947,0.0361,-0.01367,-0.50682
7.963,0.00416,-0.01112,-0.54007
7.979,-0.01054,-0.00161,-0.52199
7.995,-0.03081,0.00434,-0.44315
8.027,0.01059,0.00236,-0.38524
8.042,-0.02211,-0.00886,-0.35008
8.058,-0.02087,0.01026,-0.25544
8.091,-0.00199,0.01322,-0.16237
8.107,-0.00312,-0.00052,-0.08415
8.123,-0.0113,0.00305,0.00128
8.139,-0.00985,0.01311,0.02973
8.154,-0.00414,-0.00118,0.02898
8.186,-0.0058,0.00557,0.01748
8.203,-0.0091,0.00732,0.00451
8.219,-0.00699,-0.00129,-0.01191
8.252,-0.00333,0.00287,0.00287
8.27,-0.00367,0.00887,0.01212
8.286,-0.00966,0.00144,-0.00153
8.302,-0.0072,0.00763,-0.00552
8.318,-0.00588,0.00531,0.00374
8.349,-0.00581,0.00077,0.00516
8.366,-0.00479,0.00425,-0.00429
8.381,-0.00352,0.0077,-2e-05
8.398,-0.0058,0.00571,0.00413
8.429,-0.00665,0.00435,0.00027
8.446,-0.00684,0.00383,0.00193
8.462,-0.00565,0.00587,0.00231
8.478,-0.00743,0.00408,0.00112
